Site,Long,Lat,class,radius,season,year,value
AB,-77.00651,42.87291,Forage,1km,spring,2015,0.465625
BA,-76.49859,42.6064,Forage,1km,spring,2015,0.34375
BD,-76.65786,42.55345,Forage,1km,spring,2015,0.378125
EV,-76.56695,42.19008,Forage,1km,spring,2015,0.5875
GR,-76.47218,42.6559,Forage,1km,spring,2015,0.390625
HG,-76.51123,42.35773,Forage,1km,spring,2015,0.565625
HS,-77.02449,42.85632,Forage,1km,spring,2015,0.396875
IC,-76.549,42.47007,Forage,1km,spring,2015,0.44375
IT,-76.46286,42.44275,Forage,1km,spring,2015,0.44375
KI,-76.65271,42.56226,Forage,1km,spring,2015,0.4
LA,-76.59543,42.5728,Forage,1km,spring,2015,0.46875
LF,-76.98682,42.83212,Forage,1km,spring,2015,0.465625
LT,-76.5668,42.35085,Forage,1km,spring,2015,0.5375
OK,-76.52297,42.54444,Forage,1km,spring,2015,0.46875
RE,-76.92749,42.37454,Forage,1km,spring,2015,0.4875
RF,-76.99957,42.77614,Forage,1km,spring,2015,0.371875
WH,-76.53608,42.4438,Forage,1km,spring,2015,0.503125
AB,-77.00651,42.87291,Forage,3km,spring,2015,0.41875
BA,-76.49859,42.6064,Forage,3km,spring,2015,0.36875
BD,-76.65786,42.55345,Forage,3km,spring,2015,0.40625
EV,-76.56695,42.19008,Forage,3km,spring,2015,0.584375
GR,-76.47218,42.6559,Forage,3km,spring,2015,0.39375
HG,-76.51123,42.35773,Forage,3km,spring,2015,0.565625
HS,-77.02449,42.85632,Forage,3km,spring,2015,0.375
IC,-76.549,42.47007,Forage,3km,spring,2015,0.4375
IT,-76.46286,42.44275,Forage,3km,spring,2015,0.484375
KI,-76.65271,42.56226,Forage,3km,spring,2015,0.3625
LA,-76.59543,42.5728,Forage,3km,spring,2015,0.303125
LF,-76.98682,42.83212,Forage,3km,spring,2015,0.3125
LT,-76.5668,42.35085,Forage,3km,spring,2015,0.559375
OK,-76.52297,42.54444,Forage,3km,spring,2015,0.41875
RE,-76.92749,42.37454,Forage,3km,spring,2015,0.509375
RF,-76.99957,42.77614,Forage,3km,spring,2015,0.3
WH,-76.53608,42.4438,Forage,3km,spring,2015,0.50625
AB,-77.00651,42.87291,Forage,5km,spring,2015,0.36875
BA,-76.49859,42.6064,Forage,5km,spring,2015,0.403125
BD,-76.65786,42.55345,Forage,5km,spring,2015,0.3625
EV,-76.56695,42.19008,Forage,5km,spring,2015,0.596875
GR,-76.47218,42.6559,Forage,5km,spring,2015,0.409375
HG,-76.51123,42.35773,Forage,5km,spring,2015,0.575
HS,-77.02449,42.85632,Forage,5km,spring,2015,0.35
IC,-76.549,42.47007,Forage,5km,spring,2015,0.41875
IT,-76.46286,42.44275,Forage,5km,spring,2015,0.5125
KI,-76.65271,42.56226,Forage,5km,spring,2015,0.334375
LA,-76.59543,42.5728,Forage,5km,spring,2015,0.3125
LF,-76.98682,42.83212,Forage,5km,spring,2015,0.2625
LT,-76.5668,42.35085,Forage,5km,spring,2015,0.565625
OK,-76.52297,42.54444,Forage,5km,spring,2015,0.384375
RE,-76.92749,42.37454,Forage,5km,spring,2015,0.525
RF,-76.99957,42.77614,Forage,5km,spring,2015,0.25625
WH,-76.53608,42.4438,Forage,5km,spring,2015,0.484375