"","Site","lat","lon","PRISM_tmean_stable_4kmD2_20150501_bil","PRISM_tmean_stable_4kmD2_20150502_bil","PRISM_tmean_stable_4kmD2_20150503_bil","PRISM_tmean_stable_4kmD2_20150504_bil","PRISM_tmean_stable_4kmD2_20150505_bil","PRISM_tmean_stable_4kmD2_20150506_bil","PRISM_tmean_stable_4kmD2_20150507_bil","PRISM_tmean_stable_4kmD2_20150508_bil","PRISM_tmean_stable_4kmD2_20150509_bil","PRISM_tmean_stable_4kmD2_20150510_bil","PRISM_tmean_stable_4kmD2_20150511_bil","PRISM_tmean_stable_4kmD2_20150512_bil","PRISM_tmean_stable_4kmD2_20150513_bil","PRISM_tmean_stable_4kmD2_20150514_bil","PRISM_tmean_stable_4kmD2_20150515_bil","PRISM_tmean_stable_4kmD2_20150516_bil","PRISM_tmean_stable_4kmD2_20150517_bil","PRISM_tmean_stable_4kmD2_20150518_bil","PRISM_tmean_stable_4kmD2_20150519_bil","PRISM_tmean_stable_4kmD2_20150520_bil","PRISM_tmean_stable_4kmD2_20150521_bil","PRISM_tmean_stable_4kmD2_20150522_bil","PRISM_tmean_stable_4kmD2_20150523_bil","PRISM_tmean_stable_4kmD2_20150524_bil","PRISM_tmean_stable_4kmD2_20150525_bil","PRISM_tmean_stable_4kmD2_20150526_bil","PRISM_tmean_stable_4kmD2_20150527_bil","PRISM_tmean_stable_4kmD2_20150528_bil","PRISM_tmean_stable_4kmD2_20150529_bil","PRISM_tmean_stable_4kmD2_20150530_bil","PRISM_tmean_stable_4kmD2_20150531_bil","PRISM_tmean_stable_4kmD2_20150601_bil","PRISM_tmean_stable_4kmD2_20150602_bil","PRISM_tmean_stable_4kmD2_20150603_bil","PRISM_tmean_stable_4kmD2_20150604_bil","PRISM_tmean_stable_4kmD2_20150605_bil","PRISM_tmean_stable_4kmD2_20150606_bil","PRISM_tmean_stable_4kmD2_20150607_bil","PRISM_tmean_stable_4kmD2_20150608_bil","PRISM_tmean_stable_4kmD2_20150609_bil","PRISM_tmean_stable_4kmD2_20150610_bil","PRISM_tmean_stable_4kmD2_20150611_bil","PRISM_tmean_stable_4kmD2_20150612_bil","PRISM_tmean_stable_4kmD2_20150613_bil","PRISM_tmean_stable_4kmD2_20150614_bil","PRISM_tmean_stable_4kmD2_20150615_bil","PRISM_tmean_stable_4kmD2_20150616_bil","PRISM_tmean_stable_4kmD2_20150617_bil","PRISM_tmean_stable_4kmD2_20150618_bil","PRISM_tmean_stable_4kmD2_20150619_bil","PRISM_tmean_stable_4kmD2_20150620_bil","PRISM_tmean_stable_4kmD2_20150621_bil","PRISM_tmean_stable_4kmD2_20150622_bil","PRISM_tmean_stable_4kmD2_20150623_bil","PRISM_tmean_stable_4kmD2_20150624_bil","PRISM_tmean_stable_4kmD2_20150625_bil","PRISM_tmean_stable_4kmD2_20150626_bil","PRISM_tmean_stable_4kmD2_20150627_bil","PRISM_tmean_stable_4kmD2_20150628_bil","PRISM_tmean_stable_4kmD2_20150629_bil","PRISM_tmean_stable_4kmD2_20150630_bil"
"1","AB",42.87291,-77.006513,13.0250005722046,13.2650003433228,15.2050008773804,18.3380012512207,20.3760013580322,15.0510005950928,16.0240001678467,19.0060005187988,22.7830009460449,23.8070011138916,22.5120010375977,22.3880004882812,13.8760004043579,9.19300079345703,12.068000793457,15.4230003356934,19.0020008087158,20.1610012054443,22.8150005340576,14.1870002746582,9.14900016784668,13.2430009841919,7.86700057983398,12.9270009994507,20.3150005340576,23.2770004272461,23.4910011291504,23.052001953125,17.2150001525879,21.4640007019043,18.8170013427734,8.43100070953369,10.4240007400513,10.5240001678467,14.7120008468628,19.9000015258789,18.355001449585,11.1350002288818,19.5950012207031,19.8380012512207,17.2630004882812,20.5820007324219,19.564001083374,20.8750019073486,19.0330009460449,21.7240009307861,21.7560005187988,19.9420013427734,18.8150005340576,20.746000289917,13.952000617981,19.8540000915527,21.5460014343262,23.5310020446777,21.3500003814697,20.1320018768311,19.8680000305176,17.980001449585,14.9580011367798,15.5440006256104,18.2110004425049
"2","BA",42.606404,-76.498592,11.782000541687,10.617000579834,12.6890001296997,16.0220012664795,19.242000579834,15.6390008926392,14.4670009613037,18.3390007019043,22.6790008544922,23.2170009613037,22.8680019378662,22.8010005950928,14.5410003662109,6.04100036621094,10.9570007324219,15.6420011520386,18.943000793457,20.1790008544922,22.4860019683838,14.9300003051758,7.59400033950806,10.6910009384155,7.03200054168701,10.2450008392334,17.4590015411377,22.7410011291504,23.2250003814697,21.6610012054443,16.0610008239746,20.2970008850098,19.5850009918213,10.8020000457764,10.7790002822876,10.3570003509521,14.5600004196167,17.5270004272461,19.1460018157959,11.2470006942749,17.2639999389648,19.4990005493164,15.8050003051758,19.5030002593994,19.3480014801025,21.5370006561279,18.4080009460449,21.4320011138916,22.5870018005371,18.7569999694824,18.4650001525879,20.3900012969971,14.3620004653931,18.5270004272461,19.742000579834,22.0180015563965,20.0830001831055,17.5260009765625,18.2370014190674,17.6590003967285,14.7500009536743,15.1070003509521,17.6530017852783
"3","BD",42.553447,-76.657857,12.4350004196167,11.573000907898,13.8500003814697,16.7790012359619,19.7490005493164,16.0330009460449,14.5090007781982,18.9290008544922,23.4020004272461,23.6590003967285,23.4980010986328,23.07200050354,15.0230007171631,6.70300054550171,11.2790002822876,15.9570007324219,19.3040008544922,20.3960018157959,22.9950008392334,15.4650011062622,8.34400081634521,11.7940006256104,7.95400047302246,11.2300004959106,18.3470001220703,23.2720012664795,23.5090007781982,22.2020015716553,16.6080017089844,21.0160007476807,19.4080009460449,10.1370000839233,10.710000038147,10.2390003204346,14.3450002670288,18.3250007629395,19.1880016326904,11.2200002670288,17.6690006256104,20.2290000915527,16.2600002288818,20.0140018463135,19.9340000152588,22.0260009765625,18.5670013427734,21.9630012512207,23.0110015869141,19.4080009460449,18.5360012054443,20.8890018463135,14.4190006256104,18.693000793457,20.6700000762939,22.7170009613037,20.8900012969971,18.5270004272461,18.7540016174316,17.8800010681152,14.7590007781982,15.4890003204346,18.0870018005371
"4","EV",42.190078,-76.566951,11.1140003204346,9.78200054168701,11.701000213623,14.3200006484985,18.0930004119873,16.0480003356934,13.0820007324219,17.3730010986328,21.0630016326904,21.5880012512207,22.0050010681152,22.5440006256104,16.2480010986328,5.21700048446655,9.95600032806396,14.0110006332397,19.3350009918213,20.3690013885498,22.1060009002686,16.4460010528564,7.77300024032593,9.91000080108643,8.25800037384033,9.7170000076294,14.4570007324219,21.8610019683838,21.5750007629395,20.8020000457764,16.1060009002686,17.9540004730225,20.2790012359619,11.5300006866455,10.9010009765625,10.1940002441406,13.6150007247925,16.7610015869141,19.6430015563965,11.1510009765625,14.3570003509521,19.9520015716553,15.403000831604,18.2480010986328,19.6990013122559,21.94700050354,18.6040000915527,21.0020008087158,23.0290012359619,18.6909999847412,17.7530002593994,20.0090007781982,15.2240009307861,17.0110015869141,20.19700050354,21.4250011444092,20.0110015869141,17.0290012359619,17.9910011291504,17.617000579834,14.7520008087158,15.3460006713867,17.8760013580322
"5","GR",42.655905,-76.47218,11.3440008163452,10.0900001525879,12.0410003662109,15.5650005340576,18.7610015869141,15.2490005493164,14.117000579834,17.8720016479492,22.1250019073486,22.8490009307861,22.3320007324219,22.3680019378662,14.068000793457,5.67300033569336,10.5350008010864,14.988000869751,18.5940017700195,19.8190002441406,22.0570011138916,14.4490003585815,7.04000043869019,10.1730003356934,6.48600053787231,9.70700073242188,16.9020004272461,22.1100006103516,22.7980003356934,21.246000289917,15.5170011520386,19.5020008087158,19.5390014648438,10.6870002746582,10.6510009765625,10.0710000991821,14.2200002670288,17.101001739502,18.9400005340576,10.8810005187988,16.5770015716553,19.0080013275146,15.234001159668,18.9790000915527,18.7520008087158,21.1020011901855,17.9320011138916,20.9210014343262,22.2030010223389,18.2160015106201,18.0570011138916,20.0930004119873,14.0090007781982,18.1830005645752,19.3830013275146,21.5620002746582,19.6030006408691,16.8830013275146,17.6840000152588,17.1940002441406,14.4100008010864,14.7480010986328,17.2510013580322
"6","HG",42.35773,-76.51123,11.7610006332397,10.3660001754761,12.66100025177,15.7690010070801,19.0850009918213,15.7640008926392,13.9740009307861,18.6490001678467,22.6980018615723,22.5320014953613,22.8640003204346,22.7890014648438,15.2110004425049,5.514000415802,10.9990005493164,16.1650009155273,19.068000793457,20.230001449585,22.5240001678467,15.524001121521,7.58800029754639,10.1750001907349,7.22500038146973,10.2810001373291,17.1450004577637,22.8450012207031,22.8130016326904,21.4000015258789,15.7900009155273,20.5110015869141,19.3740005493164,10.9290008544922,10.6550006866455,10.2070007324219,14.5140008926392,17.4600009918213,19.0380001068115,11.0240001678467,16.9130001068115,19.6310005187988,15.604001045227,19.7760009765625,19.5080013275146,21.7990016937256,18.2780017852783,21.5110015869141,22.8460006713867,18.6630001068115,18.3960018157959,20.1790008544922,14.4330005645752,18.2800006866455,19.6600017547607,21.9870014190674,19.9460010528564,17.2760009765625,17.8400001525879,17.6750011444092,15.0130004882812,15.2980003356934,17.7080001831055
"7","HS",42.856325,-77.024492,12.5060005187988,12.8020009994507,14.8160009384155,18.0020008087158,20.1710014343262,15.189001083374,15.6820011138916,18.7520008087158,22.8960018157959,23.730001449585,22.6450004577637,22.3800010681152,13.7770004272461,8.78500080108643,11.8050003051758,15.2620010375977,18.8580017089844,20.1750011444092,22.617000579834,14.0630006790161,9.0310001373291,13.0250005722046,7.63500022888184,12.4930009841919,19.8980007171631,23.1180019378662,23.480001449585,22.9140014648438,16.9460010528564,21.2610015869141,18.8760013580322,8.48200035095215,10.4140005111694,10.3430004119873,14.5510005950928,19.4380016326904,18.2180004119873,10.8750009536743,19.1909999847412,19.6350002288818,16.8930015563965,20.2670001983643,19.3120002746582,20.6950016021729,18.8030014038086,21.5150012969971,21.7900009155273,19.5920009613037,18.5970001220703,20.6700000762939,13.6830005645752,19.5390014648438,21.1550006866455,23.2620010375977,20.9360008239746,19.5930004119873,19.4000015258789,17.5990009307861,14.7230005264282,15.407000541687,18.0390014648438
"8","IC",42.470067,-76.549003,12.371000289917,11.0230007171631,13.3590002059937,16.4940013885498,19.6840000152588,16.2360000610352,14.2650003433228,19.1450004577637,23.2860012054443,23.1460018157959,23.4500007629395,23.2100009918213,15.6750011444092,5.87900018692017,11.2770004272461,16.5440006256104,19.3560009002686,20.6680011749268,23.0410003662109,15.9220008850098,8.03500080108643,10.8160009384155,7.81100034713745,10.7110004425049,17.9400005340576,23.3540019989014,23.3370018005371,21.9250011444092,16.2610015869141,21.1540012359619,19.7060012817383,10.9580001831055,10.8890008926392,10.4220008850098,14.7570009231567,18.0170001983643,19.443000793457,11.4240007400513,17.8370018005371,20.1380004882812,16.1270008087158,20.3400001525879,20.0070018768311,22.2870006561279,18.69700050354,22.1410007476807,23.2980003356934,19.2510013580322,18.8170013427734,20.6390018463135,14.7370004653931,18.9110012054443,20.0900001525879,22.5320014953613,20.5430011749268,18.0080013275146,18.5030002593994,18.1880016326904,15.2250003814697,15.7150011062622,18.1920013427734
"9","IT",42.442749,-76.462859,11.8490009307861,10.1150007247925,12.8070001602173,16.1370010375977,19.4170017242432,15.8240003585815,14.3000011444092,19.0460014343262,23.3190002441406,23.1880016326904,23.4140014648438,23.0780010223389,15.5200004577637,5.53300046920776,11.1430006027222,16.9320011138916,19.0570011138916,20.4950008392334,23.0220012664795,15.5780010223389,7.67900037765503,10.2730007171631,7.13800048828125,10.4300003051758,17.8990001678467,23.480001449585,23.3450012207031,21.69700050354,15.609001159668,21.3740005493164,19.109001159668,10.448000907898,10.5820007324219,10.3360004425049,15.073000907898,18.0990009307861,19.0130004882812,10.7790002822876,18.5320014953613,19.6820011138916,15.9750003814697,20.5010013580322,19.5170001983643,22.1910018920898,18.2450008392334,21.8910007476807,22.9330005645752,18.7620010375977,18.9110012054443,20.3730010986328,14.0480003356934,18.9200000762939,19.3720016479492,22.2450008392334,20.1560001373291,17.6380004882812,18.1700000762939,18.1510009765625,16.0139999389648,15.9610004425049,18.0960006713867
"10","KI",42.562256,-76.652713,12.4350004196167,11.573000907898,13.8500003814697,16.7790012359619,19.7490005493164,16.0330009460449,14.5090007781982,18.9290008544922,23.4020004272461,23.6590003967285,23.4980010986328,23.07200050354,15.0230007171631,6.70300054550171,11.2790002822876,15.9570007324219,19.3040008544922,20.3960018157959,22.9950008392334,15.4650011062622,8.34400081634521,11.7940006256104,7.95400047302246,11.2300004959106,18.3470001220703,23.2720012664795,23.5090007781982,22.2020015716553,16.6080017089844,21.0160007476807,19.4080009460449,10.1370000839233,10.710000038147,10.2390003204346,14.3450002670288,18.3250007629395,19.1880016326904,11.2200002670288,17.6690006256104,20.2290000915527,16.2600002288818,20.0140018463135,19.9340000152588,22.0260009765625,18.5670013427734,21.9630012512207,23.0110015869141,19.4080009460449,18.5360012054443,20.8890018463135,14.4190006256104,18.693000793457,20.6700000762939,22.7170009613037,20.8900012969971,18.5270004272461,18.7540016174316,17.8800010681152,14.7590007781982,15.4890003204346,18.0870018005371
"11","LA",42.572799,-76.595432,12.4570007324219,11.3490009307861,13.5620002746582,16.7800006866455,19.9060001373291,15.8610010147095,15.0960006713867,19.0729999542236,23.2810020446777,23.8490009307861,23.5960006713867,23.2170009613037,14.7650003433228,6.67100048065186,11.3950004577637,16.0630016326904,19.0580005645752,20.4750003814697,23.0100002288818,15.2120008468628,8.19400024414062,11.5020008087158,7.59000015258789,10.9930009841919,18.2120018005371,23.4520015716553,23.7550010681152,22.3500003814697,16.7860012054443,21.4890003204346,19.2600002288818,10.5440006256104,10.8810005187988,10.6400003433228,14.8940010070801,18.2610015869141,19.2890014648438,11.6600008010864,18.351001739502,19.9670009613037,16.5130004882812,20.2630004882812,19.8970012664795,21.9580001831055,18.8610000610352,22.1640014648438,22.9940013885498,19.3390007019043,18.9210014343262,20.7960014343262,14.6140003204346,18.9830017089844,20.0980014801025,22.5150012969971,20.8540000915527,18.4060001373291,18.9910011291504,18.201000213623,15.1050004959106,15.5170011520386,18.0729999542236
"12","LF",42.832115,-76.986815,12.9540004730225,13.0940008163452,15.0580005645752,18.125,20.310001373291,15.1100006103516,15.8840007781982,19.0250015258789,23.0770015716553,23.9910011291504,22.6470012664795,22.5530014038086,13.8440008163452,8.94000053405762,12.0400009155273,15.57200050354,19.0470008850098,20.2240009307861,22.8840007781982,14.2810010910034,9.13700008392334,13.1670007705688,7.86300039291382,12.9820003509521,20.1110000610352,23.4080009460449,23.6120014190674,23.0340003967285,17.2210006713867,21.7030010223389,18.7670001983643,8.64500045776367,10.4800004959106,10.4900007247925,14.6760005950928,19.8330001831055,18.4100017547607,11.121000289917,19.5430011749268,19.9670009613037,17.1600017547607,20.5470008850098,19.7160015106201,21.2290000915527,19.0430011749268,21.8540000915527,21.935001373291,19.8520011901855,18.9320011138916,20.7390003204346,14.0430002212524,19.9950008392334,21.4030017852783,23.5320014953613,21.2640018463135,20.0020008087158,19.7790012359619,17.8900012969971,14.9780006408691,15.6220006942749,18.3370018005371
"13","LT",42.350851,-76.5668,11.5160007476807,10.318000793457,12.4450006484985,15.4040002822876,18.7410011291504,15.7090005874634,13.6300010681152,18.2250003814697,22.2960014343262,22.2650012969971,22.5920009613037,22.5850009918213,15.202000617981,5.37800025939941,10.5380001068115,15.4360008239746,19.0550003051758,20.0630016326904,22.326000213623,15.5750007629395,7.61800050735474,10.2850008010864,7.3100004196167,9.93600082397461,16.5270004272461,22.4580001831055,22.4770011901855,21.1960010528564,15.7390003204346,19.7440013885498,19.496000289917,10.8250007629395,10.6680002212524,10.0460004806519,13.9550008773804,17.1690006256104,19.1060009002686,10.8500003814697,16.0580005645752,19.6800003051758,15.3240003585815,19.1490001678467,19.4150009155273,21.6680011749268,18.2150001525879,21.2700004577637,22.8390007019043,18.6400012969971,17.9600009918213,20.19700050354,14.4550008773804,17.7569999694824,19.8570003509521,21.7330017089844,19.8940010070801,17.1350002288818,17.7270011901855,17.4230003356934,14.6590003967285,15.1460008621216,17.609001159668
"14","OK",42.544438,-76.522972,13.6860008239746,12.5270004272461,14.8850011825562,18.1909999847412,21.1840019226074,16.6770000457764,15.9190006256104,20.3610000610352,24.177001953125,24.4700012207031,24.6470012664795,23.8770008087158,15.5910005569458,7.34400033950806,12.3500003814697,17.6400012969971,19.3240013122559,21.2540016174316,23.7950019836426,15.9110012054443,8.82500076293945,12.0120010375977,8.27600002288818,11.7800006866455,20.0690002441406,24.306001663208,24.4020004272461,23.0530014038086,17.6340007781982,23.2620010375977,19.238000869751,10.9080009460449,11.2310009002686,11.0230007171631,15.6200008392334,19.0990009307861,19.5010013580322,12.5040006637573,20.5960006713867,20.6250019073486,17.5690002441406,21.5870018005371,20.8540000915527,22.6270008087158,19.6300010681152,23.3800010681152,23.560001373291,20.2000007629395,19.742000579834,21.0570011138916,15.2630004882812,19.9750003814697,20.5630016326904,23.4420013427734,21.7050018310547,19.4580001831055,19.9450016021729,19.0520000457764,15.532000541687,16.0900001525879,18.5970001220703
"15","RE",42.374538,-76.927488,11.8740005493164,10.7510004043579,13.1010007858276,15.5710010528564,19.0240001678467,16.3470001220703,13.7840003967285,18.3980007171631,22.3810005187988,22.6510009765625,22.9120006561279,22.685001373291,15.6910009384155,5.75500011444092,10.5010004043579,15.3160009384155,19.4890003204346,20.5180015563965,22.7130012512207,15.8820009231567,8.47000026702881,10.7850008010864,7.93800020217896,10.5340003967285,17.3050003051758,22.4950008392334,22.5480003356934,21.5620002746582,16.4770011901855,19.8300018310547,19.4910011291504,10.0510005950928,10.9530000686646,10.19700050354,13.9530010223389,17.9440002441406,19.2980003356934,10.6590003967285,15.8550004959106,20.2060012817383,15.5290002822876,19.2970008850098,19.8570003509521,22.2290019989014,18.568000793457,21.576000213623,23.1060009002686,19.0060005187988,17.9130001068115,20.7690010070801,14.6870002746582,18.0270004272461,20.5060005187988,22.0850009918213,20.5320014953613,17.7550010681152,18.2230014801025,17.6770000457764,14.573000907898,15.577000617981,18.2560005187988
"16","RF",42.776143,-76.999573,13.0120010375977,13.0030002593994,14.8860006332397,17.8830013275146,20.2990016937256,15.1050004959106,15.7280006408691,19.1190013885498,23.234001159668,24.1280002593994,22.7270011901855,22.6110019683838,13.9120006561279,8.75600051879883,12.0290002822876,15.7910003662109,19.1020011901855,20.246000289917,22.9890003204346,14.448000907898,9.12400054931641,13.0800008773804,8.01800060272217,13.1360006332397,19.8980007171631,23.556001663208,23.7600002288818,23.0500011444092,17.2770004272461,21.9140014648438,18.7870006561279,8.91499996185303,10.5640001296997,10.5100002288818,14.6310005187988,19.7910003662109,18.4479999542236,11.2270002365112,19.5310001373291,20.0580005645752,17.1680011749268,20.6580009460449,19.7890014648438,21.6590003967285,18.9660015106201,22.0510005950928,22.2540016174316,19.7780017852783,19.0069999694824,20.8090019226074,14.1880006790161,20.1510009765625,21.3830013275146,23.6610012054443,21.3760013580322,19.9940013885498,19.6740016937256,17.9020004272461,15.0380010604858,15.7170009613037,18.363000869751
"17","WH",42.443799,-76.536078,12.371000289917,11.0230007171631,13.3590002059937,16.4940013885498,19.6840000152588,16.2360000610352,14.2650003433228,19.1450004577637,23.2860012054443,23.1460018157959,23.4500007629395,23.2100009918213,15.6750011444092,5.87900018692017,11.2770004272461,16.5440006256104,19.3560009002686,20.6680011749268,23.0410003662109,15.9220008850098,8.03500080108643,10.8160009384155,7.81100034713745,10.7110004425049,17.9400005340576,23.3540019989014,23.3370018005371,21.9250011444092,16.2610015869141,21.1540012359619,19.7060012817383,10.9580001831055,10.8890008926392,10.4220008850098,14.7570009231567,18.0170001983643,19.443000793457,11.4240007400513,17.8370018005371,20.1380004882812,16.1270008087158,20.3400001525879,20.0070018768311,22.2870006561279,18.69700050354,22.1410007476807,23.2980003356934,19.2510013580322,18.8170013427734,20.6390018463135,14.7370004653931,18.9110012054443,20.0900001525879,22.5320014953613,20.5430011749268,18.0080013275146,18.5030002593994,18.1880016326904,15.2250003814697,15.7150011062622,18.1920013427734
